المادة القانونية (م),السؤال,الإجابة,Article_label,Article,Text,Gold_Article,Gold_Text,Overlap_Jaccard,Coverage_Answer_in_Article,Coverage_Article_in_Answer,Answer_Length_Tokens,Article_Length_Tokens,Manual_Correctness,Manual_Grammar,Manual_Style,Relevance,Notes
الأولى,ما هو الاسم الرسمي للنظام الذي تتحدث عنه هذه المادة؟,يسمى هذا النظام نظام العمل.,الأولى,المادة الأولى ,يسمى هذا النظام نظام العمل.,المادة الأولى ,يسمى هذا النظام نظام العمل.,1.0,1.0,1.0,5,5,,,,,
الأولى,هل يشير هذا النص إلى أي نظام آخر؟,لا، يشير النص إلى اسم النظام الحالي وهو نظام العمل.,الأولى,المادة الأولى ,يسمى هذا النظام نظام العمل.,المادة الأولى ,يسمى هذا النظام نظام العمل.,0.25,0.3,0.6,10,5,,,,,
الأولى,أين يمكن العثور على التسمية الرسمية لهذا النظام؟,يمكن العثور عليها في النص الافتتاحي أو المادة الأولى منه.,الأولى,المادة الأولى ,يسمى هذا النظام نظام العمل.,المادة الأولى ,يسمى هذا النظام نظام العمل.,0.0,0.0,0.0,10,5,,,,,
الثانية,"ما هو تعريف ""العامل"" المعدل بموجب المرسوم الملكي رقم (م/134)؟","هو ""كل شخص طبيعي - ذكراً أو أنثى - يعمل لمصلحة صاحب عمل وتحت إدارته أو إشرافه مقابل أجر، ولو كان بعيداً عن نظارته"".",الثانية,المادة الثانية,"- تعديل تعريف العامل وذلك بموجب المرسوم الملكي رقم (م/134) وتاريخ 1440/11/27هـ، ليكون بالنص الآتي "" كل شخص طبيعي - ذكراً أو أنثى - يعمل لمصلحة صاحب عمل وتحت إدارته أو إشرافه مقابل أجر، ولو كان بعيداً عن نظارته "".",المادة الثانية,"- تعديل تعريف العامل وذلك بموجب المرسوم الملكي رقم (م/134) وتاريخ 1440/11/27هـ، ليكون بالنص الآتي "" كل شخص طبيعي - ذكراً أو أنثى - يعمل لمصلحة صاحب عمل وتحت إدارته أو إشرافه مقابل أجر، ولو كان بعيداً عن نظارته "".",0.5263157894736842,0.9523809523809523,0.5405405405405406,22,38,,,,,
الثانية,ما هو رقم وتاريخ المرسوم الملكي الذي عدّل تعريف العامل؟,المرسوم الملكي رقم (م/134) وتاريخ 1440/11/27هـ.,الثانية,المادة الثانية,"- تعديل تعريف العامل وذلك بموجب المرسوم الملكي رقم (م/134) وتاريخ 1440/11/27هـ، ليكون بالنص الآتي "" كل شخص طبيعي - ذكراً أو أنثى - يعمل لمصلحة صاحب عمل وتحت إدارته أو إشرافه مقابل أجر، ولو كان بعيداً عن نظارته "".",المادة الثانية,"- تعديل تعريف العامل وذلك بموجب المرسوم الملكي رقم (م/134) وتاريخ 1440/11/27هـ، ليكون بالنص الآتي "" كل شخص طبيعي - ذكراً أو أنثى - يعمل لمصلحة صاحب عمل وتحت إدارته أو إشرافه مقابل أجر، ولو كان بعيداً عن نظارته "".",0.24324324324324326,1.0,0.24324324324324326,9,38,,,,,
الثانية,هل يشترط في تعريف العامل أن يكون العمل تحت إشراف صاحب العمل؟,نعم، يشترط أن يعمل لمصلحة صاحب عمل وتحت إدارته أو إشرافه مقابل أجر، ولو كان بعيداً عن نظارته.,الثانية,المادة الثانية,"- تعديل تعريف العامل وذلك بموجب المرسوم الملكي رقم (م/134) وتاريخ 1440/11/27هـ، ليكون بالنص الآتي "" كل شخص طبيعي - ذكراً أو أنثى - يعمل لمصلحة صاحب عمل وتحت إدارته أو إشرافه مقابل أجر، ولو كان بعيداً عن نظارته "".",المادة الثانية,"- تعديل تعريف العامل وذلك بموجب المرسوم الملكي رقم (م/134) وتاريخ 1440/11/27هـ، ليكون بالنص الآتي "" كل شخص طبيعي - ذكراً أو أنثى - يعمل لمصلحة صاحب عمل وتحت إدارته أو إشرافه مقابل أجر، ولو كان بعيداً عن نظارته "".",0.375,0.8333333333333334,0.40540540540540543,18,38,,,,,
الثالثة,ما هو المبدأ الأساسي الذي أقرته هذه المادة للمواطن فيما يخص العمل؟,العمل حق للمواطن، ولا يجوز لغيره ممارسته إلا بعد توافر الشروط المنصوص عليها في هذا النظام.,الثالثة,المادة الثالثة ,"عُدلت هذه المادة بموجب المرسوم الملكي رقم (م / 134) وتاريخ 27 / 11 / 1440هـ، لتكون بالنص الآتي ""العمل حق للمواطن، لا يجوز لغيره ممارسته إلا بعد توافر الشروط المنصوص عليها في هذا النظام، والمواطنون متساوون في حق العمل دون أي تمييز على أساس الجنس أو الإعاقة أو السن أو أي شكل من أشكال التمييز الأخرى، سواءً أثناء أداء العمل أو عند التوظيف أو الإعلان عنه"".",المادة الثالثة ,"عُدلت هذه المادة بموجب المرسوم الملكي رقم (م / 134) وتاريخ 27 / 11 / 1440هـ، لتكون بالنص الآتي ""العمل حق للمواطن، لا يجوز لغيره ممارسته إلا بعد توافر الشروط المنصوص عليها في هذا النظام، والمواطنون متساوون في حق العمل دون أي تمييز على أساس الجنس أو الإعاقة أو السن أو أي شكل من أشكال التمييز الأخرى، سواءً أثناء أداء العمل أو عند التوظيف أو الإعلان عنه"".",0.26785714285714285,0.9375,0.2727272727272727,16,64,,,,,
الثالثة,ما هي الأسس التي لا يجوز التمييز على أساسها بين المواطنين في حق العمل؟,لا يجوز التمييز على أساس الجنس أو الإعاقة أو السن أو أي شكل من أشكال التمييز الأخرى.,الثالثة,المادة الثالثة ,"عُدلت هذه المادة بموجب المرسوم الملكي رقم (م / 134) وتاريخ 27 / 11 / 1440هـ، لتكون بالنص الآتي ""العمل حق للمواطن، لا يجوز لغيره ممارسته إلا بعد توافر الشروط المنصوص عليها في هذا النظام، والمواطنون متساوون في حق العمل دون أي تمييز على أساس الجنس أو الإعاقة أو السن أو أي شكل من أشكال التمييز الأخرى، سواءً أثناء أداء العمل أو عند التوظيف أو الإعلان عنه"".",المادة الثالثة ,"عُدلت هذه المادة بموجب المرسوم الملكي رقم (م / 134) وتاريخ 27 / 11 / 1440هـ، لتكون بالنص الآتي ""العمل حق للمواطن، لا يجوز لغيره ممارسته إلا بعد توافر الشروط المنصوص عليها في هذا النظام، والمواطنون متساوون في حق العمل دون أي تمييز على أساس الجنس أو الإعاقة أو السن أو أي شكل من أشكال التمييز الأخرى، سواءً أثناء أداء العمل أو عند التوظيف أو الإعلان عنه"".",0.2545454545454545,1.0,0.2545454545454545,17,64,,,,,
الثالثة,متى يجوز لغير المواطن ممارسة العمل في المملكة؟,يجوز لغير المواطن ممارسة العمل فقط بعد توافر الشروط المنصوص عليها في هذا النظام.,الثالثة,المادة الثالثة ,"عُدلت هذه المادة بموجب المرسوم الملكي رقم (م / 134) وتاريخ 27 / 11 / 1440هـ، لتكون بالنص الآتي ""العمل حق للمواطن، لا يجوز لغيره ممارسته إلا بعد توافر الشروط المنصوص عليها في هذا النظام، والمواطنون متساوون في حق العمل دون أي تمييز على أساس الجنس أو الإعاقة أو السن أو أي شكل من أشكال التمييز الأخرى، سواءً أثناء أداء العمل أو عند التوظيف أو الإعلان عنه"".",المادة الثالثة ,"عُدلت هذه المادة بموجب المرسوم الملكي رقم (م / 134) وتاريخ 27 / 11 / 1440هـ، لتكون بالنص الآتي ""العمل حق للمواطن، لا يجوز لغيره ممارسته إلا بعد توافر الشروط المنصوص عليها في هذا النظام، والمواطنون متساوون في حق العمل دون أي تمييز على أساس الجنس أو الإعاقة أو السن أو أي شكل من أشكال التمييز الأخرى، سواءً أثناء أداء العمل أو عند التوظيف أو الإعلان عنه"".",0.1694915254237288,0.7142857142857143,0.18181818181818182,14,64,,,,,
الرابعة,ما الذي يجب على صاحب العمل والعامل الالتزام به عند تطبيق أحكام النظام؟,يجب عليهما الالتزام بمقتضيات أحكام الشريعة الإسلامية.,الرابعة,المادة الرابعة ,يجب على صاحب العمل والعامل عند تطبيق أحكام هذا النظام الالتزام بمقتضيات أحكام الشريعة الإسلامية.,المادة الرابعة ,يجب على صاحب العمل والعامل عند تطبيق أحكام هذا النظام الالتزام بمقتضيات أحكام الشريعة الإسلامية.,0.4,0.8571428571428571,0.42857142857142855,7,15,,,,,
