Section,Chapter,Article,Text,Status,Source
الباب الأول: التعريفات والأحكام العامة,,الفصل الأول : التعريفات,يسمى هذا النظام نظام العمل.,عادية,https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1
الباب الأول: التعريفات والأحكام العامة,الفصل الأول : التعريفات,المادة الثانية,"- تعديل تعريف العامل وذلك بموجب المرسوم الملكي رقم (م/134) وتاريخ 1440/11/27هـ، ليكون بالنص الآتي: "" كل شخص طبيعي - ذكراً أو أنثى - يعمل لمصلحة صاحب عمل وتحت إدارته أو إشرافه مقابل أجر، ولو كان بعيداً عن نظارته "".",معدلة,https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1
الباب الأول: التعريفات والأحكام العامة,الفصل الأول : التعريفات,المادة الثالثة :,"عُدلت هذه المادة بموجب المرسوم الملكي رقم (م / 134) وتاريخ 27 / 11 / 1440هـ، لتكون بالنص الآتي: ""العمل حق للمواطن، لا يجوز لغيره ممارسته إلا بعد توافر الشروط المنصوص عليها في هذا النظام، والمواطنون متساوون في حق العمل دون أي تمييز على أساس الجنس أو الإعاقة أو السن أو أي شكل من أشكال التمييز الأخرى، سواءً أثناء أداء العمل أو عند التوظيف أو الإعلان عنه"".",معدلة,https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1
الباب الأول: التعريفات والأحكام العامة,الفصل الأول : التعريفات,المادة الرابعة :,يجب على   صاحب العمل    والعامل عند تطبيق أحكام هذا النظام الالتزام بمقتضيات أحكام الشريعة الإسلامية.,عادية,https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1
الباب الأول: التعريفات والأحكام العامة,الفصل الأول : التعريفات,المادة الخامسة :,"تم تعديل هذه المادة بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ لتكون بالنص الآتي : "" تسري أحكام هذا النظام على الآتي : 1 - كل عقد عمل يلتزم بمقتضاه أي شخص بالعمل لمصلحة صاحب عمل وتحت إدارته أو إشرافه؛ مقابل أجر. 2 - عمال الحكومة والهيئات والمؤسسات العامة، بمن فيهم الذين يشتغلون في المراعي أو الزراعة. 3 - عمال المؤسسات الخيرية. 4 - عقود التأهيل والتدريب مع غير العاملين لدى صاحب العمل في حدود الأحكام الخاصة المنصوص عليها في هذا النظام. 5 - العاملين بعض الوقت في حدود ما يتعلق بالسلامة والصحة المهنية وإصابات العمل وما يقرره الوزير"".",معدلة,https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1
الباب الأول: التعريفات والأحكام العامة,الفصل الأول : التعريفات,المادة السادسة :,تسري على العامل العرضي والموسمي والمؤقت الأحكام الخاصة بالواجبات وقواعد التأديب، والحد الأقصى لساعات العمل، وفترات   الراحة اليومية      والراحة الأسبوعية،   والتشغيل الإضافي،   والعطلات الرسمية،  وقواعد السلامة،   والصحة المهنية،   وإصابات العمل    والتعويض عنها، وما يقرره الوزير.,عادية,https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1
الباب الأول: التعريفات والأحكام العامة,الفصل الأول : التعريفات,المادة السابعة :,"تم تعديل هذه المادة بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ لتكون بالنص الآتي : "" 1 - يستثنى من تطبيق أحكام هذا النظام كل من : أ - أفراد أسرة صاحب العمل، وهم زوجه وأصوله وفروعه الذين يعملون في المنشأة التي لا تضم سواهم. ب - لاعبو الأندية والاتحادات الرياضية ومدربوها. ج - العمالة المنزلية ومن في حكمهم. د - عمال الزراعة والرعاة الخاصون ومن في حكمهم. هـ - عمال البحر الذين يعملون في سفن تقل حمولتها عن خمسمائة طن. و - العاملون غير السعوديين القادمون لأداء مهمة محددة ولمدة لا تزيد على شهرين. 2 - يصدر الوزير - بالتنسيق مع الجهات المختصة - لائحة أو أكثر للفئات الواردة في الفقرات (أ) و(ج) و(د) و(هـ) و(و) من الفقرة (1) من هذه المادة؛ تشتمل على الحقوق والواجبات والأحكام الخاصة الأخرى ذات الصلة بكل فئة"".",معدلة,https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1
الباب الأول: التعريفات والأحكام العامة,الفصل الأول : التعريفات,المادة الثامنة :,يبطل كل شرط يخالف أحكام هذا النظام، ويبطل كل إبراء أو مصالحة عن الحقوق الناشئة للعامل بموجب هذا النظام أثناء سريان عقد العمل، ما لم يكن أكثر فائدة للعامل.,عادية,https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1
الباب الأول: التعريفات والأحكام العامة,الفصل الأول : التعريفات,المادة التاسعة :,اللغة العربية هي الواجبة الاستعمال في البيانات والسجلات والملفات وعقود العمل وغيرها مما هو منصوص عليه في هذا النظام، أو في أي قرار صادر تطبيقًا لأحكامه، وكذلك التعليمات التي يصدرها   صاحب العمل    لعماله. وإذا استعمل   صاحب العمل    لغة أجنبية إلى جانب اللغة العربية في أي من الحالات المذكورة فإن النص العربي هو المعتمد دون غيره.,عادية,https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1
الباب الأول: التعريفات والأحكام العامة,الفصل الأول : التعريفات,المادة العاشرة :,تحسب جميع المدد والمواعيد المنصوص عليها في هذا النظام بالتقويم الهجري، ما لم ينص في عقد العمل أو لائحة تنظيم العمل على خلاف ذلك.,عادية,https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1
