question,top_retrieved_chunk,top_2_retrieved_chunk,top_3_retrieved_chunk,question_norm,Question,Answer,Source,Topic,Jaccard_top1,Coverage_top1_AnsInChunk,Coverage_top1_ChunkInAns,Jaccard_top2,Coverage_top2_AnsInChunk,Coverage_top2_ChunkInAns,Jaccard_top3,Coverage_top3_AnsInChunk,Coverage_top3_ChunkInAns,Best_Jaccard,Best_Coverage_AnsInChunk,Baseline_Correctness_auto
هل يحق لصاحب العمل الامتناع عن تدريب السعوديين؟,المادة الخامسة والأربعون : عقد التأهيل والتدريب عقد يلتزم بمقتضاه صاحب العمل بتأهيل أو تدريب شخص لإعداده في مهنة معينة.,المادة الخامسة والتسعون بعد المائة : يشترط في مفتش العمل عند ممارسته لعمله- بالإضافة إلى الشروط العامة في تعيين الموظفين- ما يأتي 1 - أن يكون متصفًا بالحياد التام. 2 - ألا تكون له أي صلة مباشرة أو غير مباشرة بالمنشآت التي يقوم بتفتيشها. 3 - أن يكون قد اجتاز فحصًا مسلكيًّا بعد قضائه فترة تدريب لا تقل عن تسعين يومًا.,المادة الرابعة والخمسون بعد المائة : يحق للمرأة العاملة عندما تعود إلى مزاولة عملها بعد إجازة الوضع أن تأخذ بقصد إرضاع مولودها فترة أو فترات للاستراحة لا تزيد في مجموعها على الساعة في اليوم الواحد، وذلك علاوة على فترات الراحة الممنوحة لجميع العمال، وتحسب هذه الفترة أو الفترات من ساعات العمل الفعلية، ولا يترتب عليها تخفيض الأجر.,هل يحق لصاحب العمل الامتناع عن تدريب السعوديين؟,هل يحق لصاحب العمل الامتناع عن تدريب السعوديين؟,لا، التدريب واجب وفق النسب المحددة في النظام واللوائح (مثل المادة 15 و 42).,istitlaa_qa.csv,التدريب,0.06666666666666667,0.1111111111111111,0.14285714285714285,0.047619047619047616,0.057692307692307696,0.21428571428571427,0.04838709677419355,0.058823529411764705,0.21428571428571427,0.06666666666666667,0.1111111111111111,0
هل توجد غرامة لمخالفة أحكام صندوق الموارد البشرية؟,"المادة الثانية والأربعون بعد المائتين : تم تعديل هذه المادة ونقلها لتكون (الثانية والثلاثين بعد المائتين) بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ بالنص الآتي ""المادة الثانية والثلاثون بعد المائتين يتم تحصيل الغرامات المقررة بموجب هذا النظام، وفقاً للإجراءات المتبعة في تحصيل الأموال العامة، وتؤول المبالغ إلى صندوق تنمية الموارد البشرية"".",المادة الخامسة والأربعون بعد المائة : يجوز لصاحب العمل بعد موافقة الوزير إنشاء صندوق للتوفير والادخار، على أن تكون مساهمة العمال فيه اختيارية. ويجب إعلان الأحكام المنظمة لكل ما يتصل بقواعد عمل هذا الصندوق.,المادة الرابعة : يجب على صاحب العمل والعامل عند تطبيق أحكام هذا النظام الالتزام بمقتضيات أحكام الشريعة الإسلامية.,هل توجد غرامة لمخالفة أحكام صندوق الموارد البشرية؟,هل توجد غرامة لمخالفة أحكام صندوق الموارد البشرية؟,نعم، توجد غرامات محددة في جدول المخالفات والجزاءات.,istitlaa_qa.csv,صندوق هدف,0.019230769230769232,0.022222222222222223,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.019230769230769232,0.022222222222222223,0
هل يجب أن يكون عقد العمل مكتوباً؟,"المادة السادسة والأربعون : - صدر المرسوم الملكي رقم (م/44) وتاريخ 1446/2/8هـ، وذلك بالموافقة على تعديلات بعض مواد نظام العمل (ويعمل بها من تاريخ 1446/8/20هـ) وعدلت هذه المادة لتكون بالنص الآتي "" يجب أن يكون عقد التأهيل أو التدريب مكتوباً، وأن يحدد فيه نوع المهنة المتعاقد للتدريب عليها، ومقدار المكافأة التي تعطى للمتدرب في كل مرحلة، على ألا يكون تحديدها على أساس القطعة أو الإنتاج، ويجب أن تُبيَّن في العقد حقوق المتدرب وصاحب العمل وواجباتهما، وما إذا كان التأهيل أو التدريب في منشأة تتبع صاحب العمل أو لدى منشأة أخرى "".","المادة السابعة والثلاثون : - صدر المرسوم الملكي رقم (م/44) وتاريخ 1446/2/8هـ، وذلك بالموافقة على تعديلات بعض مواد نظام العمل (ويعمل بها من تاريخ 1446/8/20هـ) وعدلت هذه المادة لتكون بالنص الآتي ""يجب أن يكون عقد عمل غير السعودي مكتوباً ومحدد المدة. وإذا خلا العقد من بيان مدته تعد مدته (سنة) من تاريخ مباشرة العامل الفعلية، وإذا استمر العمل بعد انتهاء هذه المدة، عُدَّ متجدداً لمدة مماثلة"".","المادة الثانية والخمسون : تم تعديل هذه المادة بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ لتكون بالنص الآتي ""1 - مع مراعاة ما ورد في المادة (السابعة والثلاثين) من هذا النظام، تضع الوزارة نموذجاً موحداً لعقد العمل، يحتوي بصورة أساسية على اسم صاحب العمل ومكانه، واسم العامل وجنسيته، وما يلزم لإثبات شخصيته، وعنوان إقامته، والأجر المتفق عليه بما في ذلك المزايا والبدلات، ونوع العمل ومكانه، وتاريخ الالتحاق به، ومدته إن كان محدد المدة. 2 - يجب أن يكون عقد العمل وفق النموذج المشار إليه في الفقرة (1) من هذه المادة، ولطرفي العقد أن يضيفا إليه بنوداً أخرى، بما لا يتعارض مع أحكام هذا النظام ولائحته والقرارات الصادرة تنفيذاً له"".",هل يجب أن يكون عقد العمل مكتوباً؟,هل يجب أن يكون عقد العمل مكتوباً؟,نعم، يجب أن يكون عقد العمل مكتوباً من نسختين، يحتفظ كل طرف بنسخة. ويعد العقد قائماً ولو كان غير مكتوب، وفي هذه الحالة يجوز للعامل إثبات حقوقه بجميع طرق الإثبات.,boe_qa.csv,عقود العمل,0.11578947368421053,0.14473684210526316,0.36666666666666664,0.12658227848101267,0.1694915254237288,0.3333333333333333,0.07964601769911504,0.09782608695652174,0.3,0.12658227848101267,0.1694915254237288,0
ما هو بدل الانتقال؟,المادة الرابعة والثلاثون بعد المائة : تعد الإصابة إصابة عمل وفق ما هو منصوص عليه في نظام التأمينات الاجتماعية، وتعد الأمراض المهنية في حكم إصابات العمل، كما يعد تاريخ أول مشاهدة طبية للمرض في حكم تاريخ الإصابة.,المادة التاسعة : اللغة العربية هي الواجبة الاستعمال في البيانات والسجلات والملفات وعقود العمل وغيرها مما هو منصوص عليه في هذا النظام، أو في أي قرار صادر تطبيقًا لأحكامه، وكذلك التعليمات التي يصدرها صاحب العمل لعماله. وإذا استعمل صاحب العمل لغة أجنبية إلى جانب اللغة العربية في أي من الحالات المذكورة فإن النص العربي هو المعتمد دون غيره.,المادة الخمسون : عقد العمل هو عقد مبرم بين صاحب عمل وعامل، يتعهد الأخير بموجبه أن يعمل تحت إدارة صاحب العمل أو إشرافه مقابل أجر.,ما هو بدل الانتقال؟,ما هو بدل الانتقال؟,مبلغ مالي يصرف للعامل لتغطية نفقات وصوله للعمل.,qiwa_qa.csv,البدلات,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
من يتحمل رسوم تأشيرة الخروج والعودة؟,"المادة الأربعون : - صدر المرسوم الملكي رقم (م/44) وتاريخ 1446/2/8هـ، وذلك بالموافقة على تعديلات بعض مواد نظام العمل (ويعمل بها من تاريخ 1446/8/20هـ) وعدلت الفقرة (1) من هذه المادة لتكون بالنص الآتي "" يتحمل صاحب العمل رسوم استقدام العامل غير السعودي، ورسوم الإقامة ورخصة العمل وتجديدهما، وما يترتب على تأخير ذلك من غرامات يتسبب بها صاحب العمل، ورسوم تغيير المهنة، والخروج والعودة، وتذكرة عودة العامل إلى موطنه بعد انتهاء العلاقة بين الطرفين "".","المادة الثالثة والأربعون : تم تعديل هذه المادة بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ لتكون بالنص الآتي ""مع عدم الإخلال بما تنص عليه اتفاقيات الامتياز وغيرها من الاتفاقيات من شروط وقواعد خاصة بالتدريب والتأهيل؛ على كل صاحب عمل يشغّل خمسين عاملاً فأكثر أن يؤهل أو يدرب على أعماله من عماله السعوديين ما لا يقل عن (12%) من مجموع عماله سنوياً، ويدخل ضمن هذه النسبة العمال السعوديون الذين يكملون دراساتهم إذا كان صاحب العمل يتحمل تكاليف الدراسة. وللوزير أن يرفع هذه النسبة في بعض المنشآت التي يحددها بقرار منه"".","المادة الثلاثون : - صدر المرسوم الملكي رقم (م/44) وتاريخ 1446/2/8هـ، وذلك بالموافقة على تعديلات بعض مواد نظام العمل (ويعمل بها من تاريخ 1446/8/20هـ) وعدلت هذه المادة لتكون بالنص الآتي ""1- لا يجوز لأي شخص طبيعي أو اعتباري أن يمارس نشاط توظيف السعوديين أو نشاط استقدام العمال أو نشاط الإسناد ما لم يكن مرخصاً له بذلك من الوزارة. وتحدد اللائحة ضوابط ممارسة كل من هذه الأنشطة، وشروط منح الترخيص لكل منها وتجديده، والتزامات المرخص له، وقواعد عدم تجديد الترخيص أو إلغائه، والآثار المترتبة على ذلك، وغير ذلك مما يكون ضروريًّا من الشروط والضوابط لضمان حسن سير العمل بها. 2- تقترح الوزارة قيمة رسوم ممارسة الأنشطة المشار إليها في الفقرة (1) من هذه المادة، وأوجه صرفها، تمهيداً لاستكمال الإجراءات النظامية في هذا الشأن"".",من يتحمل رسوم تأشيرة الخروج والعودة؟,من يتحمل رسوم تأشيرة الخروج والعودة؟,عادة يتحملها العامل إذا كانت لإجازته، ما لم ينص العقد على خلاف ذلك.,qiwa_qa.csv,الرسوم,0.0410958904109589,0.047619047619047616,0.23076923076923078,0.03260869565217391,0.036585365853658534,0.23076923076923078,0.037037037037037035,0.04040404040404041,0.3076923076923077,0.0410958904109589,0.047619047619047616,0
هل الإبلاغ ينطبق على المنشآت الصغيرة؟,المادة الحادية والأربعون بعد المائة : تحدد بقرار من الوزير إجراءات الإبلاغ عن إصابات العمل.,المادة السابعة والعشرون بعد المائة : تطبق أحكام هذا الفصل على المنشآت ذات المخاطر الكبرى .,المادة الثانية والثلاثون بعد المائة : لا تسري أحكام هذا الفصل على المنشآت التي تخضع لفرع الأخطار المهنية من نظام التأمينات الاجتماعية.,هل الإبلاغ ينطبق على المنشآت الصغيرة؟,هل الإبلاغ ينطبق على المنشآت الصغيرة؟,نعم، النظام يسري على جميع المنشآت ما لم ينص على استثناء.,istitlaa_qa.csv,الإبلاغ,0.0,0.0,0.0,0.09090909090909091,0.14285714285714285,0.2,0.06896551724137931,0.09523809523809523,0.2,0.09090909090909091,0.14285714285714285,0
هل توجد غرامة لمخالفة أحكام إحلال السعوديين؟,"المادة الثامنة والعشرون : - صدر المرسوم الملكي رقم (م/44) وتاريخ 1446/2/8هـ، وذلك بالموافقة على تعديلات بعض مواد نظام العمل (ويعمل بها من تاريخ 1446/8/20هـ) وعدلت هذه المادة على النحو الآتي - إحلال كلمة ""قنوات"" محل كلمتي ""وحدة"" و ""وحدات"" أينما وردت في المادة. -إحلال كلمة ""الوزارة"" محل عبارة ""مكتب العمل المختص"". أينما وردت في المادة. - إحلال عبارة ""التي يشغلها ذوو الإعاقة"" محل عبارة ""التي يشغلها المعوقون"".","المادة الخامسة والعشرون : - صدر المرسوم الملكي رقم (م/44) وتاريخ 1446/2/8هـ، وذلك بالموافقة على تعديلات بعض مواد نظام العمل (ويعمل بها من تاريخ 1446/8/20هـ) وعدلت هذه المادة على النحو الآتي - إحلال كلمة ""قنوات"" محل كلمتي ""وحدة"" و ""وحدات"" أينما وردت في المادة. -إحلال كلمة ""الوزارة"" محل عبارة ""مكتب العمل المختص"". أينما وردت في المادة.",المادة الرابعة : يجب على صاحب العمل والعامل عند تطبيق أحكام هذا النظام الالتزام بمقتضيات أحكام الشريعة الإسلامية.,هل توجد غرامة لمخالفة أحكام إحلال السعوديين؟,هل توجد غرامة لمخالفة أحكام إحلال السعوديين؟,نعم، توجد غرامات محددة في جدول المخالفات والجزاءات.,istitlaa_qa.csv,إحلال السعوديين,0.017241379310344827,0.0196078431372549,0.125,0.018867924528301886,0.021739130434782608,0.125,0.0,0.0,0.0,0.018867924528301886,0.021739130434782608,0
هل يحق للعامل رفض العمل الإضافي؟,المادة الحادية والثمانون : يحق للعامل أن يترك العمل دون إشعار مع احتفاظه بحقوقه النظامية كلها، وذلك في أي من الحالات الآتية 1 - إذا لم يقم صاحب العمل بالوفاء بالتزاماته العقدية أو النظامية الجوهرية إزاء العامل. 2 - إذا ثبت أن صاحب العمل أو من يمثله قد أدخل عليه الغش وقت التعاقد فيما يتعلق بشروط العمل وظروفه. 3 - إذا كلفه صاحب العمل دون رضاه بعمل يختلف جوهريًّا عن العمل المتفق عليه، وخلافًا لما تقرره المادة الستون من هذا النظام. 4 - إذا وقع من صاحب العمل أو من أحد أفراد أسرته أو من المدير المسؤول اعتداء يتسم بالعنف، أو سلوك مخل بالآداب نحو العامل أو أحد أفراد أسرته. 5 - إذا اتسمت معاملة صاحب العمل أو المدير المسؤول بمظاهر من القسوة والجور أو الإهانة. 6 - إذا كان في مقر العمل خطر جسيم يهدد سلامة العامل أو صحته، بشرط أن يكون صاحب العمل قد علم بوجوده، ولم يتخذ من الإجراءات ما يدل على إزالته. 7 - إذا كان صاحب العمل أو من يمثله قد دفع العامل بتصرفاته وعلى الأخص بمعاملته الجائرة أو بمخالفته شروط العقد إلى أن يكون العامل في الظاهر هو الذي أنهى العقد.,المادة الرابعة والخمسون بعد المائة : يحق للمرأة العاملة عندما تعود إلى مزاولة عملها بعد إجازة الوضع أن تأخذ بقصد إرضاع مولودها فترة أو فترات للاستراحة لا تزيد في مجموعها على الساعة في اليوم الواحد، وذلك علاوة على فترات الراحة الممنوحة لجميع العمال، وتحسب هذه الفترة أو الفترات من ساعات العمل الفعلية، ولا يترتب عليها تخفيض الأجر.,"المادة السابعة بعد المائة : - صدر المرسوم الملكي رقم (م/44) وتاريخ 1446/2/8هـ، وذلك بالموافقة على تعديلات بعض مواد نظام العمل (ويعمل بها من تاريخ 1446/8/20هـ) وعدلت الفقرة (1) من هذه المادة لتكون بالنص الآتي "" يجب على صاحب العمل أن يدفع للعامل أجراً إضافيًّا عن ساعات العمل الإضافية يوازي أجر الساعة مضافاً إليه (50%) من أجره الأساسي، ويجوز لصاحب العمل بموافقة العامل أن يحتسب للعامل أيام إجازة تعويضية مدفوعة الأجر بدلاً عن الأجر المستحق للعامل لساعات العمل الإضافية. وتبين اللائحة الأحكام المتصلة بذلك "".",هل يحق للعامل رفض العمل الإضافي؟,هل يحق للعامل رفض العمل الإضافي؟,نعم، الأصل أن العمل الإضافي اختياري، إلا في حالات الطوارئ أو الجرد السنوي بحدود معينة.,boe_qa.csv,العمل الإضافي,0.031746031746031744,0.034782608695652174,0.26666666666666666,0.06451612903225806,0.0784313725490196,0.26666666666666666,0.023809523809523808,0.028169014084507043,0.13333333333333333,0.06451612903225806,0.0784313725490196,0
كم عدد أيام الراحة الأسبوعية؟,المادة الرابعة بعد المائة : 1- يوم الجمعة يوم الراحة الأسبوعية لجميع العمال. ويجوز لصاحب العمل- بعد إبلاغ مكتب العمل المختص- أن يستبدل بهذا اليوم لبعض عماله أي يوم من أيام الأسبوع، وعليه أن يمكنهم من القيام بواجباتهم الدينية، ولا يجوز تعويض يوم الراحة الأسبوعية بمقابل نقدي. 2- يكون يوم الراحة الأسبوعية بأجر كامل، ولا يقل عن أربع وعشرين ساعة متتالية.,المادة الرابعة والستون بعد المائة : لا يجوز تشغيل الأحداث تشغيلًا فعليًّا أكثر من ست ساعات في اليوم الواحد لسائر شهور السنة، عدا شهر رمضان، فيجب ألا تزيد ساعات العمل الفعلية فيه على أربع ساعات. وتنظم ساعات العمل بحيث لا يعمل الحدث أكثر من أربع ساعات متصلة دون فترة أو أكثر للراحة والطعام والصلاة، لا تقل في المرة الواحدة عن نصف ساعة، وبحيث لا يبقى في مكان العمل أكثر من سبع ساعات. ولا يجوز تشغيل الأحداث في أيام الراحة الأسبوعية أو في أيام الأعياد والعطلات الرسمية والإجازة السنوية. ولا تسري عليهم الاستثناءات التي نصت عليها المادة السادسة بعد المائة من هذا النظام.,المادة الرابعة عشرة بعد المائة : للعامل الحق في الحصول على إجازة بأجر لا تقل مدتها عن عشرة أيام ولا تزيد على خمسة عشر يومًا بما فيها إجازة عيد الأضحى؛ وذلك لأداء فريضة الحج لمرة واحدة طوال مدة خدمته إذا لم يكن قد أداها من قبل، ويشترط لاستحقاق هذه الإجازة أن يكون العامل قد أمضى في العمل لدى صاحب العمل سنتين متصلتين على الأقل، ولصاحب العمل أن يحدد عدد العمال الذين يمنحون هذه الإجازة سنويًّا وفقًا لمقتضيات العمل.,كم عدد أيام الراحة الأسبوعية؟,كم عدد أيام الراحة الأسبوعية؟,يستحق العامل يوم راحة أسبوعية بأجر كامل، لا يقل عن 24 ساعة متتالية (عادة يوم الجمعة).,boe_qa.csv,ساعات العمل,0.14814814814814814,0.1702127659574468,0.5333333333333333,0.03614457831325301,0.04225352112676056,0.2,0.05263157894736842,0.06153846153846154,0.26666666666666666,0.14814814814814814,0.1702127659574468,0
هل يجوز للعامل رفع دعوى إذا لم يكن لديه عقد مكتوب؟,المادة الثامنة : يبطل كل شرط يخالف أحكام هذا النظام، ويبطل كل إبراء أو مصالحة عن الحقوق الناشئة للعامل بموجب هذا النظام أثناء سريان عقد العمل، ما لم يكن أكثر فائدة للعامل.,المادة السادسة عشرة بعد المائة : يجوز للعامل بموافقة صاحب العمل الحصول على إجازة دون أجر، يتفق الطرفان على تحديد مدتها، ويعد عقد العمل موقوفًا خلال مدة الإجازة فيما زاد على عشرين يومًا، ما لم يتفق الطرفان على خلاف ذلك.,المادة الرابعة عشرة بعد المائة : للعامل الحق في الحصول على إجازة بأجر لا تقل مدتها عن عشرة أيام ولا تزيد على خمسة عشر يومًا بما فيها إجازة عيد الأضحى؛ وذلك لأداء فريضة الحج لمرة واحدة طوال مدة خدمته إذا لم يكن قد أداها من قبل، ويشترط لاستحقاق هذه الإجازة أن يكون العامل قد أمضى في العمل لدى صاحب العمل سنتين متصلتين على الأقل، ولصاحب العمل أن يحدد عدد العمال الذين يمنحون هذه الإجازة سنويًّا وفقًا لمقتضيات العمل.,هل يجوز للعامل رفع دعوى إذا لم يكن لديه عقد مكتوب؟,هل يجوز للعامل رفع دعوى إذا لم يكن لديه عقد مكتوب؟,نعم، العقد قائم بجميع طرق الإثبات، وعدم الكتابة خطأ صاحب العمل.,qiwa_qa.csv,المنازعات,0.02702702702702703,0.037037037037037035,0.09090909090909091,0.047619047619047616,0.06060606060606061,0.18181818181818182,0.02702702702702703,0.03076923076923077,0.18181818181818182,0.047619047619047616,0.06060606060606061,0
