المادة القانونية (م),السؤال,الإجابة,Gold_Article,Gold_Text,Overlap_Jaccard,Coverage_Answer_in_Article,Coverage_Article_in_Answer,Answer_Length_Tokens,Article_Length_Tokens
الأولى,ما هو الاسم الرسمي للنظام الذي يحكم العلاقة بين العامل وصاحب العمل في المملكة العربية السعودية؟,يسمى هذا النظام نظام العمل. (المادة الأولى),المادة الأولى ,يسمى هذا النظام نظام العمل.,0.7142857142857143,0.7142857142857143,1.0,7,5
الأولى,ما هو الغرض الأساسي من تسمية القانون بهذا الاسم؟,الغرض هو تحديد الإطار القانوني الذي يحكم العمل والعمال في المملكة. (المادة الأولى),المادة الأولى ,يسمى هذا النظام نظام العمل.,0.058823529411764705,0.07692307692307693,0.2,13,5
الأولى,"ما الذي يشير إليه اسم ""نظام العمل""؟",يشير إلى المجموعة الكاملة من القواعد والأحكام التي تنظم علاقات العمل وحقوق وواجبات الطرفين. (المادة الأولى),المادة الأولى ,يسمى هذا النظام نظام العمل.,0.05,0.0625,0.2,16,5
الثانية,"ما هو تعريف ""العامل"" الجديد والمُعدَّل في نظام العمل؟",العامل هو كل شخص طبيعي - ذكرًا أو أنثى - يعمل لمصلحة صاحب عمل وتحت إدارته أو إشرافه مقابل أجر، ولو كان بعيدًا عن نظارته. (المادة الثانية),المادة الثانية,"- تعديل تعريف العامل وذلك بموجب المرسوم الملكي رقم (م/134) وتاريخ 1440/11/27هـ، ليكون بالنص الآتي "" كل شخص طبيعي - ذكراً أو أنثى - يعمل لمصلحة صاحب عمل وتحت إدارته أو إشرافه مقابل أجر، ولو كان بعيداً عن نظارته "".",0.4523809523809524,0.7916666666666666,0.5135135135135135,25,38
الثانية,هل يشمل تعريف العامل في النظام الأشخاص الذين يعملون عن بُعد؟,نعم، يشمل التعريف العامل ولو كان بعيدًا عن نظارة صاحب العمل، طالما يعمل لمصلحته وتحت إدارته أو إشرافه مقابل أجر. (المادة الثانية),المادة الثانية,"- تعديل تعريف العامل وذلك بموجب المرسوم الملكي رقم (م/134) وتاريخ 1440/11/27هـ، ليكون بالنص الآتي "" كل شخص طبيعي - ذكراً أو أنثى - يعمل لمصلحة صاحب عمل وتحت إدارته أو إشرافه مقابل أجر، ولو كان بعيداً عن نظارته "".",0.2553191489361702,0.5454545454545454,0.32432432432432434,22,38
الثانية,متى أصبح تعريف العامل المُعدَّل ساري المفعول؟,تم تعديل التعريف بموجب المرسوم الملكي رقم (م/134) وتاريخ 1440/11/27هـ. (المادة الثانية),المادة الثانية,"- تعديل تعريف العامل وذلك بموجب المرسوم الملكي رقم (م/134) وتاريخ 1440/11/27هـ، ليكون بالنص الآتي "" كل شخص طبيعي - ذكراً أو أنثى - يعمل لمصلحة صاحب عمل وتحت إدارته أو إشرافه مقابل أجر، ولو كان بعيداً عن نظارته "".",0.2682926829268293,0.7333333333333333,0.2972972972972973,15,38
الثالثة,ما هو الأساس الذي يُعتبر فيه العمل حقاً في النظام السعودي؟,العمل حق للمواطن، ولا يجوز لغيره ممارسته إلا بعد توافر الشروط المنصوص عليها في هذا النظام. (المادة الثالثة),المادة الثالثة ,"عُدلت هذه المادة بموجب المرسوم الملكي رقم (م / 134) وتاريخ 27 / 11 / 1440هـ، لتكون بالنص الآتي ""العمل حق للمواطن، لا يجوز لغيره ممارسته إلا بعد توافر الشروط المنصوص عليها في هذا النظام، والمواطنون متساوون في حق العمل دون أي تمييز على أساس الجنس أو الإعاقة أو السن أو أي شكل من أشكال التمييز الأخرى، سواءً أثناء أداء العمل أو عند التوظيف أو الإعلان عنه"".",0.2807017543859649,0.8888888888888888,0.2909090909090909,18,64
الثالثة,ما هي الأسس التي يُحظر التمييز على أساسها بين المواطنين في حق العمل؟,يُحظر التمييز على أساس الجنس أو الإعاقة أو السن أو أي شكل من أشكال التمييز الأخرى، سواءً أثناء أداء العمل أو عند التوظيف أو الإعلان عنه. (المادة الثالثة),المادة الثالثة ,"عُدلت هذه المادة بموجب المرسوم الملكي رقم (م / 134) وتاريخ 27 / 11 / 1440هـ، لتكون بالنص الآتي ""العمل حق للمواطن، لا يجوز لغيره ممارسته إلا بعد توافر الشروط المنصوص عليها في هذا النظام، والمواطنون متساوون في حق العمل دون أي تمييز على أساس الجنس أو الإعاقة أو السن أو أي شكل من أشكال التمييز الأخرى، سواءً أثناء أداء العمل أو عند التوظيف أو الإعلان عنه"".",0.3684210526315789,0.9130434782608695,0.38181818181818183,28,64
الثالثة,هل المواطنون متساوون في حق العمل وفقاً للنظام؟,نعم، المواطنون متساوون في حق العمل دون أي تمييز. (المادة الثالثة),المادة الثالثة ,"عُدلت هذه المادة بموجب المرسوم الملكي رقم (م / 134) وتاريخ 27 / 11 / 1440هـ، لتكون بالنص الآتي ""العمل حق للمواطن، لا يجوز لغيره ممارسته إلا بعد توافر الشروط المنصوص عليها في هذا النظام، والمواطنون متساوون في حق العمل دون أي تمييز على أساس الجنس أو الإعاقة أو السن أو أي شكل من أشكال التمييز الأخرى، سواءً أثناء أداء العمل أو عند التوظيف أو الإعلان عنه"".",0.13793103448275862,0.7272727272727273,0.14545454545454545,11,64
الرابعة,ما هو المرجع الأعلى الذي يجب على صاحب العمل والعامل الالتزام بمقتضياته عند تطبيق أحكام نظام العمل؟,يجب على صاحب العمل والعامل الالتزام بمقتضيات أحكام الشريعة الإسلامية. (المادة الرابعة),المادة الرابعة ,يجب على صاحب العمل والعامل عند تطبيق أحكام هذا النظام الالتزام بمقتضيات أحكام الشريعة الإسلامية.,0.625,0.8333333333333334,0.7142857142857143,12,15
