Question,Answer
من يتولى تفتيش العمل؟,مفتشون من موظفي الوزارة، ويجوز الاستعانة بغيرهم من السعوديين بموافقة الوزير.
هل يحق لمفتش العمل دخول المنشأة ليلاً؟,نعم، يحق له دخول أي منشأة خاضعة للنظام في أي وقت من أوقات العمل، ليلاً أو نهاراً.
هل يحق للمفتش استجواب العمال على انفراد؟,نعم، يحق له سؤال صاحب العمل أو العمال منفرين أو مجتمعين.
ماذا يفعل المفتش إذا وجد مخالفة؟,يحرر محضراً بالمخالفة، وقد يمهل صاحب العمل فترة لتلافيها إذا كانت بسيطة، أو يرفعها للجهة المختصة لفرض العقوبة.
هل يحق للمفتش أخذ عينات من المواد المستخدمة؟,نعم، يحق له أخذ عينات لتحليلها للتأكد من سلامتها وتأثيرها على العمال.
ما هي بطاقة المفتش؟,بطاقة تعريفية يجب أن يحملها المفتش ويظهرها عند الدخول للمنشأة.
هل يجوز لصاحب العمل منع المفتش من الدخول؟,لا، ويعتبر منع المفتش مخالفة تستوجب عقوبة مشددة.
ما هو عقد العمل البحري؟,عقد عمل تشغيل ملاح على سفينة ترفع العلم السعودي.
هل يجب أن يكون عقد العمل البحري مكتوباً؟,نعم، يجب أن يكون مكتوباً من 3 نسخ (لصاحب العمل، والعامل، والإدارة المختصة/خفر السواحل).
ماذا يذكر في عقد العمل البحري بخصوص الطعام؟,يجب أن ينص على نظام التغذية والمبيت المخصص للبحار.
إذا انتهى عقد البحار والسفينة في عرض البحر، متى ينتهي فعلياً؟,يمتد العقد حكماً حتى وصول السفينة إلى أول ميناء سعودي أو الميناء المتفق عليه.
ما حق البحار إذا أصيب أو مرض أثناء السفر؟,له الحق في العلاج والأجر، وإعادته إلى بلده (ترحيله) على نفقة صاحب العمل.
ماذا لو غرقت السفينة؟,يستحق البحار أجره حتى يوم الغرق، وتعويضاً عن فقدان أمتعته، وربما تعويض بطالة لفترة محددة.
هل يجوز تشغيل الأحداث في السفن؟,يمنع تشغيل من هم دون 18 سنة في السفن، إلا في حالات التدريب المعتمدة.
ما هي ساعات العمل في المناجم (تحت الأرض)؟,لا تزيد ساعات العمل الفعلية تحت الأرض عن 7 ساعات يومياً.
هل يسمح بدخول أي شخص للمنجم؟,يحظر دخول غير العاملين أو المفتشين إلى أماكن العمل في المناجم دون إذن خاص.
ما هو سجل الدخول للمنجم؟,سجل خاص لحصر العمال قبل دخولهم وعند خروجهم لضمان عدم بقاء أحد بالداخل.
متى يتم إجراء الفحص الطبي لعمال المناجم؟,يجب إجراء فحص شامل قبل الالتحاق بالعمل، وفحص دوري مرة كل سنة على الأقل.
ماذا يجب توفيره في نقاط الإنقاذ بالمناجم؟,أدوات إنقاذ وإسعافات ضرورية، ووسيلة اتصال، وعامل فني مدرب.
ما هي غرامة تقديم معلومات غير صحيحة للوزارة؟,تصل الغرامة إلى مبالغ مالية محددة في جدول المخالفات (مثلاً 10,000 أو أكثر حسب اللائحة).
ما هي عقوبة تشغيل العامل سخرة؟,غرامة مالية كبيرة وقد تصل لإغلاق المنشأة نهائياً.
هل تتضاعف الغرامة بالتكرار؟,نعم، يجوز مضاعفة الغرامة إذا تكررت المخالفة.
أين تذهب أموال الغرامات؟,تؤول إلى صندوق تنمية الموارد البشرية لدعم توظيف وتدريب السعوديين.
هل يعفى المخالف من تصحيح المخالفة بعد دفع الغرامة؟,لا، دفع الغرامة لا يعفي من التزام إزالة المخالفة وتصحيح الوضع.
ما هو السن الأدنى للعمل؟,15 سنة، ولا يجوز تشغيل من هم دون ذلك.
ما هي ساعات العمل المسموحة للحدث (15-18 سنة)؟,6 ساعات يومياً كحد أقصى.
متى يحظر تشغيل الأحداث؟,يحظر تشغيلهم ليلاً (بين 6 مساءً و 6 صباحاً) أو في الأيام الشاقة.
هل يجب إبلاغ مكتب العمل عند تشغيل حدث؟,نعم، يجب إبلاغ المكتب بأسماء الأحداث وتاريخ تشغيلهم خلال أسبوع.
ما هو تعريف 'الليل' في نظام العمل؟,الفترة ما بين غروب الشمس وشروقها (أو فترات محددة في اللائحة، غالباً 11 ساعة متصلة تشمل فترة الليل).
ما هو 'الأجر الأساسي'؟,كل ما يعطى للعامل مقابل عمله، دون مضافات (بدلات/عمولات) بموجب عقد العمل.
ما هو 'الأجر الفعلي'؟,الأجر الأساسي مضافاً إليه سائر الزيادات المستحقة (بدلات، عمولات، نسب مبيعات، منح).
هل العمولة تعتبر جزءاً من الأجر؟,نعم، العمولة والنسبة المئوية من المبيعات تعتبر جزءاً من الأجر الفعلي.
ما هي 'الخدمة المستمرة'؟,خدمة العامل غير المنقطعة مع نفس صاحب العمل أو خلفه النظامي.
هل تعتبر العطلات انقطاعاً للخدمة؟,لا، العطلات والإجازات الرسمية لا تقطع استمرار الخدمة.
متى يحق لصاحب العمل فصل العامل دون مكافأة (المادة 80)؟,في حالات محددة مثل: الاعتداء الجسدي، التزوير، عدم أداء الالتزامات الجوهرية، إفشاء الأسرار، الغياب الطويل.
هل يجب إنذار العامل قبل فصله بمادة 80؟,في بعض الفقرات (مثل الغياب وعدم أداء الالتزامات) يجب إنذاره كتابة أولاً.
ما هو الفرق بين الاستقالة وفسخ العقد؟,الاستقالة إرادة منفردة من العامل، الفسخ قد يكون من أي طرف لسبب مشروع أو غير مشروع.
ما هي حقوق العامل في حالة بيع المنشأة؟,تنتقل جميع حقوق العمال والتزاماتهم إلى المالك الجديد (الخلف)، ويكونان مسؤولين بالتضامن عن الحقوق السابقة.
هل يحق للعامل ترك العمل دون إشعار (المادة 81)؟,نعم، في حالات مثل: عدم وفاء صاحب العمل بالتزاماته، الاعتداء عليه، وجود خطر جسيم، معاملة جائرة.
هل يستحق العامل مكافأة نهاية خدمة إذا ترك العمل بمادة 81؟,نعم، يستحق المكافأة كاملة كأنه صاحب العمل هو من أنهى العقد.
ما هي مسؤولية صاحب العمل عن أدوات العامل؟,إذا وفرها العامل، يجب على صاحب العمل الحفاظ عليها، وإذا وفرها صاحب العمل، يلتزم العامل بإعادتها سليمة.
هل يجوز للعامل جمع تبرعات في العمل؟,يحظر على العامل جمع إعانات أو تبرعات في مكان العمل دون إذن.
هل يجوز دفع الراتب عن طريق شيك؟,الأصل التحويل البنكي عبر نظام حماية الأجور، إلا إذا نصت اللوائح على استثناء.
ما هو حكم البقشيش (الوهبة)؟,تعتبر من الأجر إذا جرى العرف على دفعها وكانت لها قواعد تسمح بضبطها.
كيف تحسب مكافأة نهاية الخدمة للعامل بالقطعة؟,حسب متوسط ما تقاضاه عن أيام العمل الفعلية في السنة الأخيرة.
هل تحسب العمولات في مكافأة نهاية الخدمة؟,نعم، تدخل في حساب الأجر الأخير الذي تحسب عليه المكافأة.
ما هي المدة لسقوط الحق في المطالبة بالحقوق العمالية؟,12 شهراً من تاريخ انتهاء العلاقة العمالية.
هل يجوز الصلح في الحقوق العمالية؟,نعم، الصلح جائز، ويصبح ملزماً إذا تم أمام اللجان المختصة.
هل يجوز لصاحب العمل تغيير أوقات الدوام دون موافقة العامل؟,يجوز في حدود صلاحياته التنظيمية بما لا يضر بالعامل ولا يخالف العقد.
ما هي لائحة تنظيم العمل؟,لائحة داخلية يضعها صاحب العمل لتنظيم الدوام والإجازات والجزاءات، وتعتمدها الوزارة.
هل المنشآت الصغيرة ملزمة بلائحة تنظيم عمل؟,نعم، توجد لوائح نموذجية مبسطة للمنشآت الصغيرة.
هل يجوز للعامل العمل عند منافس لصاحب العمل؟,يحظر ذلك أثناء سريان العقد، وبعد العقد إذا وجد شرط عدم منافسة.
ما هي شروط صحة شرط عدم المنافسة؟,أن يكون مكتوباً، محدداً من حيث الزمان والمكان ونوع العمل، ولحماية مصلحة مشروعة.
ما هي أقصى مدة لشرط عدم المنافسة؟,سنتان من تاريخ انتهاء العقد.
هل يجوز للعامل رفع دعوى إذا لم يكن لديه عقد مكتوب؟,نعم، العقد قائم بجميع طرق الإثبات، وعدم الكتابة خطأ صاحب العمل.
من يتحمل رسوم تأشيرة الخروج والعودة؟,عادة يتحملها العامل إذا كانت لإجازته، ما لم ينص العقد على خلاف ذلك.
من يتحمل رسوم تأشيرة الخروج النهائي؟,يتحملها صاحب العمل.
ماذا لو رفض العامل السفر بعد الخروج النهائي؟,قد يتحمل نفقات بقائه وترحيله إذا كان سبب البقاء راجعاً إليه.
هل يستحق العامل شهادة خبرة؟,نعم، شهادة خدمة توضح مدة عمله ومهنته.
هل يجوز تضمين شهادة الخدمة عبارات سلبية؟,لا، يحظر تضمين ما يسيء لسمعة العامل.
هل يجوز حجز مستحقات العامل؟,لا يجوز إلا بموجب قضاء أو اتفاق مكتوب لسداد دين محدد.
ما هي النسبة التي يجوز الحسم منها لسداد دين صاحب العمل؟,لا تزيد عن 10% من الأجر، إلا بموافقة العامل الكتابية.
ما هي مسؤولية الشركاء في الشركة عن أجور العمال؟,مسؤولون بالتضامن في حدود حصصهم أو أموالهم حسب نوع الشركة.
هل يجوز تشغيل العمال تحت أشعة الشمس؟,يمنع العمل تحت الشمس المكشوفة من 12 ظهراً إلى 3 عصراً خلال أشهر الصيف (يونيو-أغسطس).
ما هي عقوبة مخالفة قرار منع العمل تحت الشمس؟,غرامة مالية عن كل عامل (عادة 3000 ريال).
هل يجب توفير مياه شرب للعمال؟,نعم، يلتزم صاحب العمل بتوفير مياه صالحة للشرب في أماكن العمل.
هل يجب توفير وسائل انتقال؟,حسب العقد، أو توفير بدل مواصلات.
ما هو بدل الانتقال؟,مبلغ مالي يصرف للعامل لتغطية نفقات وصوله للعمل.
هل بدل السكن إلزامي؟,يجب توفير سكن أو بدل سكن (نقدي)، وعادة يكون 25% من الأساسي أو راتب 3 أشهر.
هل التأمين الطبي إلزامي؟,نعم، لجميع العاملين غير السعوديين وأفراد أسرهم، والسعوديين في القطاع الخاص.
متى ينتهي التأمين الطبي؟,بانتهاء العلاقة التعاقدية ومغادرة العامل، أو الانتقال لصاحب عمل آخر.
هل يجوز للعامل رفض النقل لمنطقة أخرى؟,نعم، إذا لم ينص العقد على ذلك وكان يسبب ضرراً له.
ما هي الحقوق في فترة الإشعار؟,الراتب كامل، ويوم للبحث عن عمل.
هل يجوز الاتفاق على الإعفاء من فترة الإشعار؟,نعم، يجوز للطرف الموجه إليه الإشعار التنازل عنه، أو الاتفاق على تعويض بدله.
ما هو 'التعويض البديل' عن الإشعار؟,دفع راتب فترة الإشعار فوراً وإنهاء العلاقة دون انتظار.
هل يجوز فصل العامل المريض؟,لا يجوز أثناء إجازته المرضية المستحقة.
متى يجوز فصل المريض؟,بعد استنفاد رصيد إجازاته المرضية والسنوية، وعجزه عن العمل.
ما هي اللجنة الطبية؟,لجهة المختصة بتقرير عجز العامل أو مرضه المهني.
هل يستحق العامل تعويضاً عن الإجازات السابقة؟,نعم، يعوض مالياً عن رصيد الإجازات غير المستعمل عند نهاية الخدمة.
كيف يحسب تعويض رصيد الإجازات؟,على أساس الأجر الأساسي (أو الفعلي حسب تأويل بعض الأحكام) عند الاستحقاق.
هل تسقط الإجازة السنوية بعدم الاستخدام؟,لا تسقط، وللعامل الحق في ترحيلها أو التعويض عنها.
ما هو الحد الأقصى لساعات العمل الإضافي في السنة؟,تحدد اللوائح حداً أقصى للساعات الإضافية سنوياً (مثلاً 720 ساعة).
هل موافقة العامل ضرورية للعمل الإضافي؟,نعم، يجب موافقته، إلا في حالات الضرورة القصوى.
ما هي 'حالة الضرورة' للعمل الإضافي؟,منع وقوع حادث، أو إصلاح ما نشأ عنه، أو تلافي خسارة محققة لمواد قابلة للتلف.
هل يستحق المديرون بدلاً للعمل الإضافي؟,إذا كانوا يشغلون مناصب إدارية عليا ومفوضين بصلاحيات، قد لا يستحقون (حسب اللائحة).
ما هي إجازة الحج؟,10 إلى 15 يوماً مدفوعة، مرة واحدة في العمر، بعد خدمة سنتين.
هل يجوز خصم أيام الحجر الصحي من الراتب؟,تعتبر إجازة مرضية مدفوعة إذا كان مثبتاً طبياً.
هل يحق للأب إجازة مولود؟,نعم، 3 أيام بأجر كامل.
متى تبدأ إجازة المولود؟,خلال أسبوع من تاريخ الولادة.
هل يحق للعامل إجازة زواج؟,نعم، 5 أيام بأجر كامل.
هل يجوز ترحيل إجازة الزواج؟,يجب أخذها وقت المناسبة.
ما هي إجازة الوفاة؟,5 أيام بأجر كامل للأصول والفروع والزوج.
هل تشمل إجازة الوفاة العم والخال؟,لا، تقتصر عادة على الأصول (الآباء) والفروع (الأبناء) والزوج/ة.
هل يجوز للعامل طلب إجازة بدون راتب؟,نعم، بموافقة صاحب العمل.
هل تحسب الإجازة بدون راتب في مكافأة نهاية الخدمة؟,لا، تستقطع مدة الانقطاع من حساب مدة الخدمة.
هل تؤثر الإجازة بدون راتب على موعد استحقاق الإجازة السنوية؟,نعم، تزاح سنة الاستحقاق بمقدار مدة الإجازة بدون راتب.
ما هي عقوبة التحرش في مكان العمل؟,فصل تأديبي بموجب المادة 80، إضافة للعقوبات الجزائية العامة.
هل صاحب العمل ملزم بالتحقيق في شكاوى التحرش؟,نعم، يلتزم بتشكيل لجنة والتحقيق واتخاذ الإجراءات.
هل يحق للعامل فسخ العقد إذا تعرض للتحرش؟,نعم، بموجب المادة 81 إذا كان من صاحب العمل أو تقاعس عن حمايته.
ما هي حقوق المتدرب (طالب العمل)؟,عقد تدريب مكتوب، مكافأة شهرية إن وجدت، شهادة إتمام.
هل يخضع المتدرب لفترة تجربة؟,نعم، يجوز الاتفاق على فترة تجربة في عقد التدريب.
