Question,Answer
ما هي البيانات الأساسية التي يجب أن يتضمنها عقد العمل؟,يجب أن يتضمن عقد العمل اسم صاحب العمل ومكانه، واسم العامل وجنسيته، والأجر المتفق عليه، ونوع العمل ومكانه، وتاريخ الالتحاق، ومدته إن كان محدداً.
هل يجب أن يكون عقد العمل مكتوباً؟,نعم، يجب أن يكون عقد العمل مكتوباً من نسختين، يحتفظ كل طرف بنسخة. ويعد العقد قائماً ولو كان غير مكتوب، وفي هذه الحالة يجوز للعامل إثبات حقوقه بجميع طرق الإثبات.
ما هي المدة القصوى لفترة التجربة في عقد العمل؟,المدة الأصلية لفترة التجربة لا تزيد عن تسعين يوماً، ويجوز تمديدها باتفاق مكتوب لتصل إلى مائة وثمانين يوماً.
هل يحق للعامل ترك العمل خلال فترة التجربة؟,نعم، يحق لأي من الطرفين إنهاء العقد خلال فترة التجربة دون مكافأة أو إشعار أو تعويض، ما لم ينص العقد على خلاف ذلك.
هل تدخل إجازة العيد أو الإجازة المرضية ضمن فترة التجربة؟,لا، لا تدخل إجازة العيد وعطلة الأعياد والإجازة المرضية ضمن حساب فترة التجربة.
ما الفرق بين العقد المحدد المدة والعقد غير المحدد المدة؟,العقد المحدد ينتهي بانتهاء مدته، أما غير المحدد فلا ينتهي إلا لأسباب مشروعة وفق النظام. عقود غير السعوديين يجب أن تكون محددة المدة دائماً.
متى يتحول العقد محدد المدة إلى عقد غير محدد المدة؟,إذا تجدد العقد المحدد لثلاث مرات متتالية، أو بلغت مدة العقد الأصلي مع التجديد أربع سنوات (أيهما أقل) واستمر الطرفان في تنفيذه، يتحول إلى عقد غير محدد المدة (للسعوديين).
هل يجوز تكليف العامل بعمل يختلف عن طبيعة عمله المتفق عليها؟,لا يجوز تكليف العامل بعمل يختلف اختلافاً جوهرياً عن عمله إلا بموافقته الكتابية، إلا في حالات الضرورة وبشكل مؤقت بما لا يتجاوز ثلاثين يوماً في السنة.
هل يجوز نقل العامل من مكان عمله الأصلي إلى مكان آخر؟,لا يجوز نقل العامل بغير موافقته الكتابية إذا كان النقل يقتضي تغيير محل إقامته، إلا في حالات الضرورة ولمدة لا تتجاوز 30 يوماً في السنة.
ما هو الحكم إذا انتهى العقد المحدد المدة واستمر الطرفان في تنفيذه؟,إذا استمر الطرفان في تنفيذ العقد بعد انتهاء مدته، يعتبر العقد مجدداً لمدة غير محددة (للسعوديين)، أو لمدة مماثلة للمدة الأصلية (لغير السعوديين إذا نص العقد على ذلك أو وفق الأحكام الخاصة).
كيف يتم دفع أجر العامل؟,يؤدى أجر العامل بالعملة الرسمية للبلاد، ويجب دفعه في مواعيد استحقاقه في حساب العامل البنكي المعتمد.
متى يجب دفع أجور العمال ذوي الأجر الشهري؟,يجب دفع أجور العمال ذوي الأجر الشهري مرة واحدة في الشهر على الأقل.
هل يجوز لصاحب العمل اقتطاع جزء من راتب العامل دون موافقته؟,لا يجوز حسم أي مبلغ من أجر العامل إلا في الحالات المنصوص عليها نظاماً (مثل اشتراكات التأمينات، سداد القروض، الغرامات، إلخ) وبنسب محددة.
ما هي النسبة القصوى التي يجوز الحجز عليها من راتب العامل لسداد الديون؟,لا يجوز الحجز على أكثر من 25% من الأجر المستحق للعامل، إلا في دين النفقة حيث يجوز الحجز لغاية النفقة المقررة.
كيف يتم حساب ساعات العمل الإضافية؟,تُحسب الساعة الإضافية بساعة عمل عادية مضافاً إليها 50% من الأجر الأساسي.
هل يلزم صاحب العمل بدفع أجر إضافي عن العمل في أيام العطل الرسمية؟,نعم، يعتبر العمل في أيام العطل الرسمية والأعياد عملاً إضافياً يستوجب أجراً إضافياً.
ماذا يحدث إذا تأخر صاحب العمل في دفع الرواتب؟,يحق للعامل التقدم بشكوى لمكتب العمل، وقد تفرض غرامات على صاحب العمل، وفي بعض الحالات يحق للعامل ترك العمل مع الاحتفاظ بحقوقه.
هل تشمل مكافأة نهاية الخدمة البدلات؟,تُحسب مكافأة نهاية الخدمة بناءً على الأجر الأخير (الأساسي + البدلات والمميزات الأخرى) ما لم يتفق على خلاف ذلك بما لا يقل عن النظام.
هل يجوز للعامل طلب سلفة من راتبه؟,نعم، يجوز ذلك باتفاق الطرفين، ويتم سدادها بالاقتطاع من الأجر بنسبة لا تتجاوز النسبة النظامية.
إذا تم توقيف العامل من قبل الجهات المختصة، هل يُدفع راتبه؟,إذا كان التوقيف بسبب العمل أو صاحب العمل، يُدفع له 50% من أجره. إذا زادت المدة عن 180 يوماً، فلا يُدفع الجزء المتبقي إلا إذا حكم ببراءته.
كم عدد ساعات العمل اليومية القصوى؟,8 ساعات يومياً أو 48 ساعة أسبوعياً. وتخفض في رمضان للمسلمين إلى 6 ساعات يومياً أو 36 أسبوعياً.
هل يحق للعامل فترة راحة خلال الدوام؟,نعم، لا يجوز تشغيل العامل أكثر من 5 ساعات متواصلة دون فترة راحة للصلاة والطعام لا تقل عن نصف ساعة.
هل تدخل فترات الراحة ضمن ساعات العمل الفعلية؟,لا، لا تدخل فترات الراحة ضمن ساعات العمل الفعلية، ولا يكون العامل خلالها تحت سلطة صاحب العمل.
كم عدد أيام الراحة الأسبوعية؟,يستحق العامل يوم راحة أسبوعية بأجر كامل، لا يقل عن 24 ساعة متتالية (عادة يوم الجمعة).
هل يجوز زيادة ساعات العمل في أوقات معينة؟,يجوز زيادة ساعات العمل إلى 9 ساعات في بعض الأعمال (مثل الفنادق والمطاعم) وتخفيضها إلى 7 ساعات في أعمال أخرى خطرة، بقرار وزاري.
ما هو الحد الأقصى لبقاء العامل في مكان العمل؟,يجب ألا يبقى العامل في مكان العمل أكثر من 12 ساعة في اليوم، بما في ذلك ساعات العمل والراحة.
هل هناك استثناءات لساعات العمل للوظائف الإدارية؟,نعم، بعض المناصب الإشرافية والإدارية العليا قد تُستثنى من أحكام ساعات العمل المحددة.
هل يجوز تجميع الراحات الأسبوعية؟,في الأماكن البعيدة عن العمران، يجوز تجميع الراحات الأسبوعية لما يصل إلى 8 أسابيع باتفاق الطرفين وموافقة الوزارة.
كيف يتم التعامل مع ساعات العمل في شهر رمضان؟,تُخفض ساعات العمل الفعلية للمسلمين في شهر رمضان إلى 6 ساعات يومياً أو 36 ساعة أسبوعياً.
هل يحق للعامل رفض العمل الإضافي؟,نعم، الأصل أن العمل الإضافي اختياري، إلا في حالات الطوارئ أو الجرد السنوي بحدود معينة.
كم عدد أيام الإجازة السنوية المستحقة؟,21 يوماً وتزاد إلى 30 يوماً إذا أمضى العامل 5 سنوات متصلة في الخدمة.
هل الإجازة السنوية مدفوعة الأجر؟,نعم، الإجازة السنوية تكون مدفوعة الأجر مقدماً.
