Question,Answer
هل يجب أن يكون عقد الموظف غير السعودي مكتوب باللغة العربية؟,نعم، يجب أن يكتب باللغة العربية ولا يمنع إضافة اللغة الإنجليزية للعقد
لدى منشأة عليها إعفاء من المقابل المالي وأريد نقل ملكيتها هل يستمر الإعفاء ؟,"لا ينتقل الإعفاء من المقابل المالي في حال نقل ملكية السجل التجاري وستكون المنشأة الجديدة عليها مقابل مالي (9,600 ريال) بسبب أن تاريخ إنشاء الملف سيكون بعد 25-8-1440"
هل يجب على صاحب العمل توفير لائحة تنظيمية معتمدة وإطلاع الموظفين عليها؟,"نعـم على صاحب العمل إطلاع الموظفين على لائحة تنظيم العمل الخاصة بالمنشأة سواء وضعها في مكان ظاهـر أو إرسالها عبر البريد الإلكتروني أو عـن طريـق موقـع الشـركة
 كما بإمكان صاحب العمل الاستفادة من خدمة اعتماد لائحة تنظيم العمل في منصة قـوى على الرابط التالي:
https://qiwa.sa/ar/labor-law"
لدي منشأة حديثة، هل عليها مقابل مالي أم لا؟,لا يوجد إعفاء من المقابل المالي للمنشآت التي تم فتح ملف المنشأة في وزارة الموارد البشرية والتنمية الاجتماعية بعد تاريخ 25-8-1440
هل يحق للموظف الحصول على مبلغ نقدي كتعويض عن رصيد الإجازات المستحقة وغير المستخدمة؟,نصت الفقرة 2 من المادة 109 في نظام العمل بوجوب تمتع العامل بإجازته في سنة استحقاقها مع مراعاة المادة 110 ولا يجوز التنازل عنها أو تقاضي بدل نقدي عوضًا عنها أثناء خدمة العامل
إذا كان الموظف في فترة التجربة وقرر عدم الاستمرار على أي مادة يكون إسقاط اسمه من التأمينات؟,يكون على المادة 80 الفقرة 6 (نصت إذا كان العامل معينا تحت الاختبار) ويقصد بالاختبار هو فترة التجربة
ما هي الأسباب والحالات المشروعة التي يمكن إنهاء العقد لأي منها؟,"أثناء التجربة حسب ما نصت عليه المادة 53
الحالات حسب ما نصت عليه المادة  74
الحالات حسب ما نصت عليه المادة 80
الحالات حسب ما نصت عليه المادة 81
للمرأة 6 أشهر من الزواج أو 3 أشهر من الوضع مادة 87
المرض مادة 117 أو العجز المهني أو الوفاة
توطين مهنة 100٪ بقرار من الجهة المعنية
إنتهاء المشروع مادة 57"
متى يتحول العقد محدد المدة إلى غير محدد المدة ( للموظفين السعوديين ) ؟,"إذا انتهت مدة العقد واستمر الطرفان في تنفيذه
إذا لم يتضمن العقد شرطا يقتضي بتجديده لمدة مماثلة أو لمدة محددة
إذا تم التجديد 3 مرات متتالية أو بلغت مدة العقد الأصلي مع التجديد 4 سنوات واستمر الطرفان في تنفيذه"
هل يحق لصاحب العمل أن ينقل موظف من مكان عمله الأصلي إلى مكان آخر؟,لا يجوز لصاحب العمل أن ينقل الموظف من مكان عمله الأصلي إلى مكان آخر يقتضي تغيير محل (إقامته) إلا (بموافقته) كتابةً أو في حالة ضرورة لمدة لا تتجاوز ثلاثين يوم في السنة على أن يتحمل صاحب العمل تكاليف انتقاله وإقامته خلال المدة (مادة 58)
هل يمكن للموظف الانتقال لمنشأة أخرى دون موافقة صاحب العمل الحالي؟,"من الممكن نقل موظف من منشأة من دون موافقة صاحب العمل الحالي في الحالات التالية:
إذا كانت رخصة وإقامة العامل منتهية
إن لم يتم دفع أجر العامل لثلاثة أشهر متتالية
إن ثبتت كيدية بلاغ تغيّب بحق العامل"
من هم العمال المستثنون من تطبيق نظام العمل عليهم ومن هم غير المستثنون؟,"عمال الزراعة والرعاة الذين يعملون لدى (الافراد ) يستثنون من تطبيق نظام العمل
عمال الزراعة الذين يعملون لدى (الدولة) لا يستثنون من تطبيق نظام العمل"
هل يحق لصاحب العمل فسخ عقد العمل دون سابق إنذار؟,يجوز لصاحب العمل فسخ عقد العمل دون سابق إنذار ودون مكافأه أو تعويض إذا تغيب الموظف أكثر من 15 يوما متتالية على أن يسبق الفصل إنذار كتابي من صاحب العمل بعد 10 أيام من انقطاعه
هل يستحق عامل بعقد عمل مؤقت مكافأة نهاية خدمة؟,"عقود العمل التي لا تتضمن مكافأة نهاية الخدمة هي:
عقد العمل لبعض الوقت (الجزئي )
عقد العمل المؤقت
عقد العمل الموسمي
عقد العمل العرضي
عقود العمل البحري الذين يعملون في سفن تقل حمولتها عن 500 طن
عقود التأهيل والتدريب مع غير العاملين لدى صاحب العمل"
هل يحق للمؤسسة أو الشركة في حالة تجديد رخصة العمل على حسابها وطلب العامل الموظف الاستقالة بأن تخصم عليه النسبة وتناسب مبلغ تجديد رسوم الرخصة؟,لا يحق لصاحب العمل وهذا الأمر يتعارض مع المادة 40 من نظام العمل
ما هي البنود التي يجب أن تتوفر في عقد العمل؟,"استناداً للمادة 52 يجب أن تتوفر هذه البنود في عقد العمل على النحو التالي:
اسم صاحب العمل ومكانه
اسم العامل وجنسيته وما يلزم لإثبات شخصيته وعنوان إقامته
الأجر المتفق عليه والمزايا والبدلات
نوع العمل ومكانه
تاريخ الالتحاق
مدته إن كان محدد المدة"
ما هي الأركان التي يجب أن تتوفر في عقد العمل؟,":هناك ثلاثة أركان لا بد أن تتوفر في عقد العمل
الأجر
العمل
الإشراف
إذا انتفى ركن من أركان العقد لا يكون عقد عمل ولا يخضع لأحكام نظام العمل"
