المادة القانونية (م),السؤال,الإجابة,Gold_Article,Gold_Text,Overlap_Jaccard,Coverage_Answer_in_Article,Coverage_Article_in_Answer,Answer_Length_Tokens,Article_Length_Tokens
الأولى,ما هو الاسم الرسمي لهذا النظام، وبموجب أي مادة تم تسميته؟,يسمى هذا النظام نظام العمل. (المادة الأولى),المادة الأولى ,يسمى هذا النظام نظام العمل.,0.7142857142857143,0.7142857142857143,1.0,7,5
الثانية,"كيف تم تعديل تعريف ""العامل"" بموجب المرسوم الملكي رقم (م/134)، وما هو النص الجديد؟","تعديل تعريف العامل ليكون بالنص الآتي: ""كل شخص طبيعي - ذكراً أو أنثى - يعمل لمصلحة صاحب عمل وتحت إدارته أو إشرافه مقابل أجر، ولو كان بعيداً عن نظارته"". (المادة الثانية)",المادة الثانية,"- تعديل تعريف العامل وذلك بموجب المرسوم الملكي رقم (م/134) وتاريخ 1440/11/27هـ، ليكون بالنص الآتي "" كل شخص طبيعي - ذكراً أو أنثى - يعمل لمصلحة صاحب عمل وتحت إدارته أو إشرافه مقابل أجر، ولو كان بعيداً عن نظارته "".",0.6666666666666666,0.9285714285714286,0.7027027027027027,29,38
الثالثة,ما هو المبدأ الأساسي الذي أقرته المادة الثالثة بخصوص حق العمل للمواطن، وما هي أشكال التمييز الممنوعة؟,المبدأ هو أن العمل حق للمواطن، ولا يجوز لغيره ممارسته إلا بعد توافر الشروط النظامية. والمواطنون متساوون في حق العمل دون أي تمييز على أساس الجنس أو الإعاقة أو السن أو أي شكل آخر من أشكال التمييز. (المادة الثالثة),المادة الثالثة ,"عُدلت هذه المادة بموجب المرسوم الملكي رقم (م / 134) وتاريخ 27 / 11 / 1440هـ، لتكون بالنص الآتي ""العمل حق للمواطن، لا يجوز لغيره ممارسته إلا بعد توافر الشروط المنصوص عليها في هذا النظام، والمواطنون متساوون في حق العمل دون أي تمييز على أساس الجنس أو الإعاقة أو السن أو أي شكل من أشكال التمييز الأخرى، سواءً أثناء أداء العمل أو عند التوظيف أو الإعلان عنه"".",0.43548387096774194,0.7941176470588235,0.4909090909090909,39,64
الخامسة,اذكر ثلاث فئات يسري عليها نظام العمل بموجب التعديل الصادر بالمرسوم الملكي رقم (م/ 46).,يسري نظام العمل على: 1. كل عقد عمل يلتزم بمقتضاه أي شخص بالعمل لمصلحة صاحب عمل مقابل أجر. 2. عمال الحكومة والهيئات والمؤسسات العامة، بمن فيهم الذين يشتغلون في المراعي أو الزراعة. 3. عمال المؤسسات الخيرية. (المادة الخامسة),المادة الخامسة ,"تم تعديل هذه المادة بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ لتكون بالنص الآتي "" تسري أحكام هذا النظام على الآتي 1 - كل عقد عمل يلتزم بمقتضاه أي شخص بالعمل لمصلحة صاحب عمل وتحت إدارته أو إشرافه؛ مقابل أجر. 2 - عمال الحكومة والهيئات والمؤسسات العامة، بمن فيهم الذين يشتغلون في المراعي أو الزراعة. 3 - عمال المؤسسات الخيرية. 4 - عقود التأهيل والتدريب مع غير العاملين لدى صاحب العمل في حدود الأحكام الخاصة المنصوص عليها في هذا النظام. 5 - العاملين بعض الوقت في حدود ما يتعلق بالسلامة والصحة المهنية وإصابات العمل وما يقرره الوزير"".",0.38823529411764707,0.9166666666666666,0.4024390243902439,38,96
السادسة,ما هي الأحكام التي تسري على العامل العرضي أو الموسمي أو المؤقت؟,تسري عليهم الأحكام الخاصة بالواجبات وقواعد التأديب، والحد الأقصى لساعات العمل، وفترات الراحة اليومية والأسبوعية، والتشغيل الإضافي، والعطلات الرسمية، وقواعد السلامة والصحة المهنية، وإصابات العمل والتعويض عنها، وما يقرره الوزير. (المادة السادسة),المادة السادسة ,تسري على العامل العرضي والموسمي والمؤقت الأحكام الخاصة بالواجبات وقواعد التأديب، والحد الأقصى لساعات العمل، وفترات الراحة اليومية والراحة الأسبوعية، والتشغيل الإضافي، والعطلات الرسمية، وقواعد السلامة، والصحة المهنية، وإصابات العمل والتعويض عنها، وما يقرره الوزير.,0.7027027027027027,0.8666666666666667,0.7878787878787878,32,35
السابعة,اذكر أربع فئات مستثناة من تطبيق أحكام هذا النظام، ومن هي الجهة التي تصدر لوائحهم الخاصة؟,من المستثنين: أفراد أسرة صاحب العمل، لاعبو الأندية والاتحادات الرياضية ومدربوها، العمالة المنزلية ومن في حكمهم، وعمال الزراعة والرعاة الخاصون. ويصدر الوزير - بالتنسيق مع الجهات المختصة - لائحة أو أكثر لهذه الفئات. (المادة السابعة),المادة السابعة ,"تم تعديل هذه المادة بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ لتكون بالنص الآتي "" 1 - يستثنى من تطبيق أحكام هذا النظام كل من أ - أفراد أسرة صاحب العمل، وهم زوجه وأصوله وفروعه الذين يعملون في المنشأة التي لا تضم سواهم. ب - لاعبو الأندية والاتحادات الرياضية ومدربوها. ج - العمالة المنزلية ومن في حكمهم. د - عمال الزراعة والرعاة الخاصون ومن في حكمهم. هـ - عمال البحر الذين يعملون في سفن تقل حمولتها عن خمسمائة طن. و - العاملون غير السعوديين القادمون لأداء مهمة محددة ولمدة لا تزيد على شهرين. 2 - يصدر الوزير - بالتنسيق مع الجهات المختصة - لائحة أو أكثر للفئات الواردة في الفقرات (أ) و(ج) و(د) و(هـ) و(و) من الفقرة (1) من هذه المادة؛ تشتمل على الحقوق والواجبات والأحكام الخاصة الأخرى ذات الصلة بكل فئة"".",0.24545454545454545,0.8181818181818182,0.25961538461538464,33,130
الرابعة,ما هو الالتزام المشترك على صاحب العمل والعامل عند تطبيق أحكام هذا النظام؟,يجب على صاحب العمل والعامل الالتزام بمقتضيات أحكام الشريعة الإسلامية. (المادة الرابعة),المادة الرابعة ,يجب على صاحب العمل والعامل عند تطبيق أحكام هذا النظام الالتزام بمقتضيات أحكام الشريعة الإسلامية.,0.625,0.8333333333333334,0.7142857142857143,12,15
الثامنة,ما هو المبدأ المعتمد في حال استخدام صاحب العمل لغة أجنبية إلى جانب اللغة العربية في السجلات والعقود؟,اللغة العربية هي الواجبة الاستعمال، وإذا استعمل صاحب العمل لغة أجنبية، فإن النص العربي هو المعتمد دون غيره. (المادة الثامنة),المادة الثامنة ,يبطل كل شرط يخالف أحكام هذا النظام، ويبطل كل إبراء أو مصالحة عن الحقوق الناشئة للعامل بموجب هذا النظام أثناء سريان عقد العمل، ما لم يكن أكثر فائدة للعامل.,0.022727272727272728,0.05,0.04,20,29
العاشرة,متى يبطل كل شرط أو إبراء أو مصالحة عن حقوق العامل الناشئة بموجب هذا النظام؟ وما هو الاستثناء من هذا البطلان؟,يبطل كل شرط يخالف أحكام هذا النظام، ويبطل كل إبراء أو مصالحة عن الحقوق أثناء سريان عقد العمل، ما لم يكن أكثر فائدة للعامل. (المادة العاشرة),المادة العاشرة ,تحسب جميع المدد والمواعيد المنصوص عليها في هذا النظام بالتقويم الهجري، ما لم ينص في عقد العمل أو لائحة تنظيم العمل على خلاف ذلك.,0.175,0.28,0.3181818181818182,26,24
الثانية عشرة,ما هي مسؤولية الوزارة فيما يخص لائحة تنظيم العمل؟,تضع الوزارة نموذجاً موحداً - أو أكثر - للائحة تنظيم العمل، على أن يكون شاملاً لقواعد تنظيم العمل وما يتصل به من أحكام، بما في ذلك الأحكام المتعلقة بالميزات والمخالفات والجزاءات التأديبية. (المادة الثانية عشرة),المادة الثانية عشرة ,"تم تعديل أحكام المواد (الثانية عشرة) و(الثالثة عشرة) و(الرابعة عشرة)؛ وإعادة صياغتها بعد تعديل أحكامها لتكون في مادتين بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ على النحو الآتي ""المادة الثانية عشرة 1 - تضع الوزارة نموذجاً موحداً - أو أكثر - للائحة تنظيم العمل، على أن يكون شاملاً لقواعد تنظيم العمل وما يتصل به من أحكام، بما في ذلك الأحكام المتعلقة بالميزات والأحكام الخاصة بالمخالفات والجزاءات التأديبية. 2 - تضع الوزارة ضوابط وآليات اعتماد لوائح تنظيم العمل"". ""المادة الثالثة عشرة 1 - يلتزم كل صاحب عمل بإعداد لائحة لتنظيم العمل في منشأته وفق النموذج المعد من الوزارة، ويجوز للوزير الاستثناء من ذلك. 2 - يجوز لصاحب العمل تضمين اللائحة شروطاً وأحكاماً إضافية، بما لا يتعارض مع أحكام هذا النظام ولائحته والقرارات الصادرة تنفيذاً له. 3 - يجب على صاحب العمل أن يعلن لائحة تنظيم العمل وأي تعديل يطرأ عليها في مكان ظاهر في المنشأة أو أي وسيلة أخرى تكفل علم الخاضعين لها بأحكامها"".",0.2631578947368421,0.967741935483871,0.26548672566371684,33,154
