Question,Answer
ما هو التعديل المقترح على المادة 2 المتعلقة بعمال الزراعة؟,تم اقتراح حذف المادة التي كانت تعرف عمال الزراعة والرعاة الخاصين ومن في حكمهم.
هل يسري نظام العمل على عمال الزراعة والرعاة الخاصين وفق النص الحالي للمادة 2؟,النص الحالي يستثني من يعملون لدى الأفراد في منازلهم أو مزارعهم الخاصة، ولكن التعديل المقترح يتجه لحذف هذا التفصيل (ربما لنقلهم لنظام العمالة المنزلية أو لائحة خاصة).
ما هو دور صندوق تنمية الموارد البشرية (هدف) وفق المادة 7 المعدلة؟,القيام بدور في توظيف الأيدي العاملة الوطنية، وتأهيلها وتدريبها، وإحلالها محل العمال غير السعوديين.
كيف يتم دعم قنوات التوظيف وفق المادة 7؟,يتم من خلال التنسيق المشترك بين الوزارة وصندوق تنمية الموارد البشرية لتفعيل ودعم هذه القنوات.
ما هي الأنشطة التي يتم ترخيصها وفق المادة 10 المعدلة؟,أنشطة توظيف السعوديين، واستقدام العمال، والإسناد.
من يحدد التزامات المرخص لهم بممارسة نشاط الاستقدام؟,تحدد وفق الضوابط المعتمدة من وزارة الموارد البشرية والتنمية الاجتماعية.
هل يجوز إلغاء ترخيص نشاط الاستقدام؟,نعم، تمنح التراخيص وتجدد وتلغى وفق أحكام النظام والضوابط المعتمدة.
هل يجوز لغير السعودي العمل لبعض الوقت وفق المادة 13؟,نعم، لا يعد مخالفاً إذا أقرت الوزارة عمله عبر إجراءات برنامج (أجير).
ما هو الشرط الأساسي لعمل غير السعودي لبعض الوقت؟,أن يتم ذلك عبر برنامج أجير وفق الضوابط التي تقرها الوزارة.
ما هو التزام صاحب العمل تجاه إحلال السعوديين وفق المادة 15؟,يجب عليه إعداد وصف مهني للوظائف، وتوفير برامج تدريب وتأهيل، ووضع أطر زمنية لإحلال السعوديين محل غير السعوديين.
ما هو التصنيف المعتمد للوصف المهني وفق المادة 15؟,التصنيف السعودي الموحد للمهن، والمعايير المهنية الوطنية.
هل يتحمل المتدرب تكاليف التدريب وفق المادة 15؟,لا، يحظر تحميل المتدرب أي نفقات متعلقة بالتدريب.
هل يجوز إجراء التدريب داخل مقر العمل؟,نعم، يجوز إذا توفر مدربون معتمدون، أو يمكن إجراؤه خارجها في مراكز معتمدة.
هل يجوز اشتراط العمل بعد التدريب؟,نعم، بشرط ألا تتجاوز مدة العمل الإلزامي المدة المماثلة لمدة البرنامج التدريبي.
كيف يتم تقييم المتدرب وفق اللائحة؟,يجب تقييم المتدرب في نهاية التدريب أو خلال فتراته، وإدراج التقييم في ملف العامل.
ما هي الأماكن التي يجب على صاحب العمل توفيرها في المنشأة وفق المادة 17؟,يجب تخصيص مكان مستقل لأداء الصلاة، ومكان للراحة وتناول الطعام، ودورات مياه منفصلة للرجال والنساء.
هل يلزم وجود دورات مياه خاصة بالنساء؟,نعم، يجب توفير دورات مياه مستقلة للنساء في مكان العمل.
ما هي نسبة احتساب العامل ذي الإعاقة في التوطين؟,يحتسب العامل السعودي من ذوي الإعاقة بـ 4 عمال سعوديين في نسبة التوطين (حسب ضوابط المادة).
ما هي شروط احتساب المعاق بـ 4 عمال؟,أن يكون حاصلاً على بطاقة تعريفية من الجهة المختصة، ولم يحسب لدى منشأة أخرى، وألا يزيد عددهم عن 10% من السعوديين في المنشأة.
هل يحتسب العامل المعاق الذي يعمل عن بعد؟,نعم، يجوز احتسابه سواء كان عمله في مقر العمل أو عن بعد وفق الضوابط.
ما هي مهمة اللجان الاستشارية للعمل؟,إبداء الرأي في الموضوعات التي يعرضها الوزير لتعزيز سوق العمل.
ممن تتشكل اللجنة الاستشارية للعمل؟,من ممثلين عن الوزارة، وأصحاب العمل، والعمال.
على من يقع عبء إبلاغ الوزارة عن مخالفات نظام العمل؟,على الموظفين المختصين والمواطنين التعاون للإبلاغ عن المخالفات.
ما هو القسم الذي يتولى التفتيش في مكاتب العمل؟,وحدة التفتيش في مكتب العمل.
بماذا يلتزم مفتش العمل قبل استلام عمله؟,يجب أن يؤدي القسم (اليمين) بأن يؤدي عمله بأمانة وإخلاص ولا يفشي الأسرار.
ما هي صيغة تعهد مفتش العمل؟,تعهد مكتوب بالالتزام بالأمانة وعدم إفشاء الأسرار الصناعية أو التجارية التي يطلع عليها بحكم عمله.
ماذا يحدث إذا أفشى المفتش أسرار العمل؟,يعتبر خائناً للأمانة ويتحمل المسؤولية الشرعية والنظامية.
